,City name,Reporting year (CDP),Year of emission,Total emissions (CDP) [tCO2-eq],CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Country,Population (CDP),Population year (CDP),City area (CDP) [km2],Built-up area (PKU) [km2],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Income per capita (PKU) [RMB/capita],Total final consumption per capita (GEA) [GJ/capita/yr],Household size (GEA+) [people/household],Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Population density [people/km2],GDP (USD)
0,Aarhus,2016,2016,1900,,"(56.168393, 10.137373)",Denmark,320000,2016,467.85,,,,,,2.103625502,,,1.8,2.01,37.625,40.125,42.6875,77.375,85.25,93.3125,0.327173913,0.32003988,0.313878676,0.672826087,0.67996012,0.686121324,238.581809,2948.643349,257.6305893,2660.083381,244.1226357,2783.303589,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,683.9799081,
1,Abington,2016,2010,615224,,"(40.12408, -75.119511)",USA,55310,2010,40.1,,86,13.6,,,2.62,27.8,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1379.301746,
2,Addis Ababa,2016,2012,3708292,,"(9.028874, 38.754366)",Ethiopia,3384569,2008,540,,2650,,,,,,,0.89,0.99,82.375,103.75,202.125,102.8125,155.0625,281.75,0.44481944,0.400869355,0.417721519,0.55518056,0.599130645,0.582278481,935.7156042,10768.61523,3063.227499,16527.76091,1600.277382,13451.83816,0,1,0,0.004323574,0.018202627,0.018202627,6267.72037,12000000000
3,Adelaide,2016,2013,486541,,"(-34.928499, 138.600746)",Australia,23169,2015,16,,38,18,,,1.7,33.23,2014-2017,1.28,1.23,234.5625,244.5,250.125,595,617.625,639.25,0.282754464,0.283601566,0.281236824,0.717245536,0.716398434,0.718763176,401.9281789,6206.605592,75.98207965,1470.030353,74.79258037,1789.259778,31610000000,62640000000,0.5,0.027793371,0.039682077,0.033682684,1448.0625,47433000000
4,Aerøskøbing,2016,2015,225,,"(54.891456, 10.404684)",Denmark,6200,2015,88,,10,10,,,1.790832608,,,1.8,2.01,,,,,,,,,,,,,,,,,,,4517000000,6412000000,0.7,0.010683401,0.01703133,0.012559465,70.45454545,
5,Aguascalientes,2016,2010,,,"(21.8897, -102.295)",Mexico,934424,2012,385,,,,,,,,,1.02,1.03,57,63.1875,72.9375,70.5,96.5,130.4375,0.447058824,0.395694716,0.358635526,0.552941176,0.604305284,0.641364474,1846.4618,17478.15691,1457.258225,6440.991309,417.5097633,7286.423631,,,,,,,2427.075325,8321480
6,Ahmedabad,2016,2008,,,"(23.03, 72.58)",India,5570585,2011,464,,,,,15.77327514,4.8,,,0.91,1.1,169.125,195.1875,253.25,246.25,284.375,370.375,0.407162203,0.407011599,0.406093405,0.592837797,0.592988401,0.593906595,602.0981956,4249.952712,1340.108495,19016.35172,1134.356575,19233.76326,,,,,,,12005.57112,49000000000
7,"Ajax, ON",2016,2008,538836,,"(43.850855, -79.020373)",Canada,109600,2011,67.1,,90,7.8,,,3.2,34.9,2011,1.16,1.17,,,,,,,,,,,,,,,,,,,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,1633.38301,
8,Albany,2017,2010,1217091,,"(42.6526, -73.7562)",USA,97856,2010,55,,9,9,,,2.19,19.1,(2011-2015) ,0.97,0.86,187.5625,193.1875,200.1875,281.75,311.8125,336.375,0.399653749,0.382549505,0.373092603,0.600346251,0.617450495,0.626907397,261.0916959,1019.549209,170.9526553,1148.163421,147.0321286,1131.750769,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1779.2,58397000000
9,"Alton, IL",2016,2013,401079,,"(38.890604, -90.184276)",USA,26581,2015,43,,132,13.7,,,2.27,22.7,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,618.1627907,
10,Amman,2016,2014,7215407,,"(31.945367, 35.928372)",Jordan,3604459,2015,800,,900,17,,,5.2,50.29,2014-2017,0.82,1.27,253.6875,291.125,322.625,290.1875,357.3125,421.75,0.466444496,0.448963855,0.433417296,0.533555504,0.551036145,0.566582704,251.2627058,2261.537107,666.4933518,6751.487952,883.3113312,9027.929875,0,1,0,0.005724877,0.010452203,0.010452203,4505.57375,15097745800
11,Amsterdam,2016,2016,4471000,,"(52.370216, 4.895168)",Netherlands,822272,2015,219,,2,11.8,,74.51,1.82,37.5,2015,1.8,2.15,767.75,820.375,810.3125,1285.375,1469.9375,1788.9375,0.373942161,0.358193478,0.311748581,0.626057839,0.641806522,0.688251419,1749.719578,6483.276715,275.6341003,3042.12085,233.4293109,2726.106577,63420000000,81520000000,0.78,0.01365524,0.028739625,0.017004448,3754.666667,3.206E+11
12,Anshan,2016,2010,,1.344745821,"(41.1166666667, 122.98333333299999)",China,1529850,,624,200.8,,,36028.53,,,,,1.09,1.17,275.375,304.6875,327.5625,429.1875,486.6875,634.1875,0.390845383,0.385010267,0.34059007,0.609154617,0.614989733,0.65940993,818.2802223,7833.925054,432.1192319,5226.016897,353.9202425,4069.942131,,,,,,,2451.682692,18889924849
13,Anyang,2016,2010,,0.462207238,"(36.1, 114.333333333)",China,950301,,543.5,161.1,,,34583.21,,,,,1.09,1.17,173.3125,215.625,233.6875,217.125,274.75,354.5625,0.443893069,0.439714504,0.397258819,0.556106931,0.560285496,0.602741181,646.6040442,7302.800705,526.5974993,5384.164529,406.5081221,4154.190194,,,,,,,1748.483901,5470084895
14,"Arlington, VA",2016,2015,2480700,,"(37.226486, -76.002594)",USA,216700,2015,67,,83,14.5,,,2.24,28.1,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,3234.328358,4.71584E+11
15,Aspen and Pitkin County,2016,2014,394341,,"(39.195, -106.837)",USA,8427,2010,20,,2405,6,,,2.03,14.5,2015,0.97,0.86,2.875,3.5625,3.625,0.125,0.125,0.1875,0.958333333,0.966101695,0.950819672,0.041666667,0.033898305,0.049180328,373.6835861,1251.46747,1126.17544,1888,1123.034481,4224,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,421.35,566889555
16,Athens,2016,2014,4711576,,"(37.98381, 23.727539)",Greece,664046,2011,39,,208,17.5,,88.77,2.35,37.46,2014-2017,1.63,1.98,216.875,229.9375,235.875,506.25,525.25,540.3125,0.29991357,0.304477365,0.303889202,0.70008643,0.695522635,0.696110798,336.5692202,3234.360002,356.0950994,6755.868362,316.1474526,6514.136127,0,1,0,0.013363883,0.014462132,0.014462132,17026.82051,1.29623E+11
17,Atlanta,2016,2014,9024235,,"(33.7489954, -84.3879824)",USA,443775,2013,343,,272,16.9,,,2.68,25.5,(2011-2015) ,0.97,0.86,1491.75,1340.8125,1265.8125,2099.125,2517.8125,2767.8125,0.415427995,0.347484531,0.313815117,0.584572005,0.652515469,0.686184883,218.565435,1140.677626,310.7932011,999.1439645,321.1026492,1196.453228,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1293.804665,2.9442E+11
18,Auckland,2016,2013,10472155,,"(-36.815328, 174.741788)",New Zealand,1569900,2015,4894,,79,15.3,,,3,40.91836735,2014-2015,1.11,1.71,177.25,189.8125,201.9375,417.875,435.4375,448.5,0.297836589,0.303578569,0.310464111,0.702163411,0.696421431,0.689535889,298.3033721,3226.851373,284.7037724,2127.190933,273.2588121,2613.780145,0,1,0,0.013273726,0.023464868,0.023464868,320.7805476,49520000000
19,Austin,2016,2013,13700000,,"(30.2672, -97.7431)",USA,888204,2015,704,,149,20,,147.6526846,2.43,23.4,(2011-2015) ,0.97,0.86,421.125,458.625,487.875,463.0625,616.875,793.9375,0.476284725,0.426429568,0.380613389,0.523715275,0.573570432,0.619386611,548.4388316,1212.854747,259.0008543,1247.693123,185.8690612,1689.584859,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1261.653409,1.07364E+11
20,Balikpapan,2016,2015,,,"(-1.23793, 116.852853)",Indonesia,762492,2016,503.3,,,,,,,,,0.8,0.93,37.875,42.0625,40.375,30.375,34.75,35.5625,0.554945055,0.547599675,0.531687243,0.445054945,0.452400325,0.468312757,746.6239896,5712.746112,1353.140271,10262.73404,2058.135034,15346.48208,,,,,,,1514.985098,7000000000
21,Baltimore,2017,2014,7230497,,"(39.2903848, -76.6121893)",USA,614664,2016,210,,240,14.7,,,2.47,30.5,(2011-2015) ,0.97,0.86,408.75,424.625,437.9375,761,853.75,932.125,0.34943364,0.332159969,0.319647826,0.65056636,0.667840031,0.680352174,335.8466358,920.515903,297.9489201,1863.392304,227.0965372,1810.480681,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,2926.971429,1.73747E+11
22,Bandung,2016,2013,,,"(-6.91746, 107.619123)",Indonesia,2483977,2014,167.67,,,,,,,,,0.8,0.93,461.6875,458.9375,464.1875,442.4375,514.875,591.25,0.510645652,0.471279122,0.439805768,0.489354348,0.528720878,0.560194232,443.4298344,5999.477963,1445.604913,11988.08023,1469.526089,13474.0297,,,,,,,14814.67764,21000000000
23,Bangalore,2016,2008,,,"(12.970289999999999, 77.596152)",India,9621551,2011,709,,,,,10.95399516,4.03,,,0.91,1.1,293.125,356.125,419.9375,311.875,414.5,639.125,0.484504132,0.462124899,0.396518147,0.515495868,0.537875101,0.603481853,943.2906145,3375.674772,1408.092863,14651.86468,1776.53029,16544.11876,,,,,,,13570.59379,45313000000
24,Baoding,2016,2010,,0.678879735,"(38.8666666667, 115.46666666700001)",China,1157891,,326,133.1,,,30710.71,,,,,1.09,1.17,120.0625,135.125,138.25,217.0625,273.9375,326.625,0.356136448,0.330328495,0.297391772,0.643863552,0.669671505,0.702608228,538.27662,6520.196959,357.4135826,4995.465095,290.0256992,4561.994925,,,,,,,3551.812883,8171464923
25,Baotou,2016,2010,,1.596385,"(40.65, 109.833333333)",China,2070801,,2662,349.5,,,41527.24,,,,,1.09,1.17,142.5,152.5,174.6875,196.5625,234.0625,263.8125,0.420276498,0.394502829,0.398375143,0.579723502,0.605497171,0.601624857,1370.690465,9537.69829,935.06616,6904.531867,1066.308145,7608.402629,,,,,,,777.9117205,31299862144
26,Barcelona,2016,2012,,,"(41.385059999999996, 2.173403)",Spain,1611822,2013,101.9,,,,,65.71972011,2.5,,,1.55,1.63,264,262.375,265.1875,539.6875,570.5,589.8125,0.328485885,0.315023263,0.310160819,0.671514115,0.684976737,0.689839181,987.0246592,7287.908762,484.1134092,6670.963399,502.9854273,7338.758434,,,,,,,15817.684,1.71032E+11
27,Barranquilla,2016,2013,,,"(10.987778, -74.788889)",Colombia,1148506,2005,161,,,,,,,,,1.04,1.08,76.1875,81.6875,95.5625,137.75,146.375,163.0625,0.356120362,0.358180323,0.369502175,0.643879638,0.641819677,0.630497825,1333.895325,9505.023176,677.4656442,11039.85259,735.985998,12176.23394,,,,,,,7133.57764,11917850.61
28,Barreiro,2016,2014,290849,,"(38.660815, -9.079072)",Portugal,78764,2011,33,,20,16,,,2.4,21.07,2011,1.64,1.89,,,,,,,,,,,,,,,,,,,0,1,0,0.031127579,0.036136885,0.036136885,2386.787879,
29,Basel,2017,2016,1105753,,"(47.5619, 7.5928)",Switzerland,198206,2016,37,,260,12,,,1.9,35.8,2015,1.79,1.74,92.25,93.8125,94.625,171.125,178.4375,186.875,0.350261035,0.344582185,0.336145648,0.649738965,0.655417815,0.663854352,270.8924324,3127.363728,281.011333,3115.944037,279.9844855,3135.827967,0,1,0,0.003827623,0.007949217,0.007949217,5356.918919,56166000000
30,Batangas,2016,2010,457288,,"(13.756465, 121.058308)",Philippines,332458,2015,285,,10,25,,,,,,0.82,1.05,92.5,97.3125,98,25.5,27.9375,33.6875,0.783898305,0.776946108,0.744186047,0.216101695,0.223053892,0.255813953,936.7559006,6506.01378,2042.476591,8316.09894,2541.507014,9644.000156,0,1,0,0.007693556,0.008402161,0.008402161,1166.519298,
31,Beijing,2016,2010,,4.566518637,"(39.9166666667, 116.383333333)",China,10717033,2006,16801.25,1733.8,,,66458.74,114.4866374,2.87,,,1.09,1.17,1181.6875,1228.3125,1228.875,2727.5,2918.8125,3342.4375,0.302284682,0.296184103,0.268823232,0.697715318,0.703815897,0.731176768,924.9697761,5525.77233,338.7346082,4383.189789,404.93804,6424.660119,,,,,,,637.8711703,2.09089E+11
32,Belo Horizonte,2016,2013,3241713,,"(-19.916681, -43.934493)",Brazil,2502557,2015,331,,900,21,,,3.704304694,34.4,2009,1.02,1.27,241.9375,249.9375,269.8125,519.6875,583.0625,619.125,0.317659609,0.300045018,0.303522464,0.682340391,0.699954982,0.696477536,314.6526617,3578.678997,446.0157867,6635.925507,490.0818907,7213.613717,11700000000,17030000000,0.69,0.015120343,0.020419478,0.016778851,7560.595166,84686000000
33,Benicia,2016,2010,688706,,"(38.049365, -122.1585777)",USA,27450,2014,13,,26,21,,,2.55,31,(2011-2015) ,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,2111.538462,23000000
34,Benxi,2016,2010,,0.681290269,"(41.3, 123.76666666700001)",China,1011377,,907,64.6,,,32087.63,,,,,1.09,1.17,43.8125,44.75,46.6875,79.4375,81.9375,90.25,0.355476673,0.353231376,0.34094021,0.644523327,0.646768624,0.65905979,501.2739949,6699.775917,889.0310857,8624.650572,735.9379074,8746.421523,,,,,,,1115.079383,9449020321
35,Betim,2016,2013,,,"(-19.0, -44.0)",Brazil,422354,2016,342.85,,,,,,,,,1.02,1.27,,,,,,,,,,,,,,,,,,,,,,,,,1231.891498,12559713.92
36,Bhubaneswar,2016,2005,,,"(20.27, 85.84)",India,837737,2011,422,,,,,,,,,0.91,1.1,51.5,73.125,97.0625,32.3125,55.125,80.4375,0.614466816,0.570175439,0.546830986,0.385533184,0.429824561,0.453169014,2432.935459,7426.500306,2978.0191,13811.10258,2386.620948,12801.59229,,,,,,,1985.158768,1643773815
37,Birmingham,2016,2013,5199.7,,"(52.480174, -1.902907)",United Kingdom,1101360,2014,267.8,,140,9.2,,85.50243248,2.52,61.2,2008,1.99,1.92,248.4375,282.25,341.4375,685.6875,698.9375,734.3125,0.265957447,0.287661634,0.317394841,0.734042553,0.712338366,0.682605159,548.2438807,3528.112897,382.8295807,3609.074897,308.5133584,3770.689249,10550000000,40990000000,0.26,0.018136258,0.026046307,0.02401042,4112.621359,1.134E+11
38,Blacksburg,2017,2015,347483.42,,"(37.2296, -80.4139)",USA,44215,2015,51.5,,633,10.8,,,2.58,14.1,(2011-2015) ,0.97,0.86,23.4375,25.625,27.4375,18.1875,21.1875,22.1875,0.563063063,0.547396529,0.552896725,0.436936937,0.452603471,0.447103275,682.6637887,2251.418886,357.3578582,1647.290756,414.3842749,1852.951732,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,858.5436893,6636000000
39,Bogor,2017,2014,2193642,,"(-6.597147, 106.806039)",Indonesia,1047922,2015,118.5,,260,32.1,,,,,,0.8,0.93,,,,,,,,,,,,,,,,,,,31780000000,75000000000,0.42,0.010909801,0.01672378,0.014260203,8843.223629,8826520124
40,Bogotá,2016,2015,12359324.53,,"(4.598056, -74.075833)",Colombia,7878783,2015,1776,,2650,15,,,3.2,72,2012,1.04,1.08,319.75,348.5,403.5,418.75,433.1875,534.5625,0.432972241,0.445830335,0.430141915,0.567027759,0.554169665,0.569858085,751.6672893,9797.392224,1056.081325,15458.29834,1014.652794,16424.22789,0,1,0,0.006765019,0.015307751,0.015307751,4436.251689,1.5985E+11
41,Bologna,2016,2009,2270524.7,,"(44.4856087, 11.3547975)",Italy,386181,2014,140,,29,15,,,1.95,,,2.01,2.14,91.4375,110.375,144.4375,115.875,126.125,146.8125,0.4410612,0.466701903,0.495922747,0.5589388,0.533298097,0.504077253,570.3952357,3445.66137,338.6154968,4057.636071,284.3554396,3566.126317,68000000,7800000000,0.01,0.011383131,0.015145862,0.015113059,2758.435714,36331000000
42,Bornova,2016,2011,758627,,"(35.2141598, 33.2947541)",Turkey,416007,2012,224.15,,,,,,,,,1.9,2.06,125.125,137.875,152.6875,236.3125,275.4375,303.375,0.3461871,0.333585362,0.334795121,0.6538129,0.666414638,0.665204879,748.6098573,7477.835983,675.2560349,9417.829656,857.6393708,9584.946734,31000000,632000000,0.05,0.025591041,0.029641787,0.029443096,1855.931296,
43,Boston,2016,2014,6066182,,"(42.3584308, -71.0597732)",USA,646000,2013,124,,2,10,,,2.35,29.25,2013,0.97,0.86,594.5,627.9375,611.125,1072.0625,1134.3125,1294.3125,0.356722295,0.356327139,0.320726867,0.643277705,0.643672861,0.679273133,701.6774854,3712.916087,370.8739737,2144.10209,254.1232974,2020.074402,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,5209.677419,3.6011E+11
44,Boulder,2016,2012,1721996,,"(40.0274, -105.2519)",USA,104810,2015,67,,1655,10.9,,136.1621539,2.39,19.2,(2011-2015) ,0.97,0.86,20.125,20.5625,20.75,44,45.8125,46.4375,0.313840156,0.309792844,0.308837209,0.686159844,0.690207156,0.691162791,406.6379778,2100.518797,412.1432168,1890.25338,488.7197569,2095.929476,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1564.328358,22354000000
45,Bournemouth,2016,2013,782650,,"(50.719164, -1.880769)",United Kingdom,191400,2015,108,,22,14,,77.47837731,2.2,,,1.99,1.92,43.875,47.8125,51.9375,124.8125,126.4375,128.375,0.260096332,0.274390244,0.288041594,0.739903668,0.725609756,0.711958406,546.4087896,3303.972901,381.2371481,3304.105746,362.178532,3620.371451,10550000000,40990000000,0.26,0.018136258,0.026046307,0.02401042,1772.222222,
46,Brasília,2016,2012,7739830,,"(-15.794229, -47.882166)",Brazil,1409671,2015,5780,,1172,21,,,3.54,,,1.02,1.27,213.4375,207.375,222.875,191.75,259.0625,290.75,0.526762301,0.444593327,0.433925529,0.473237699,0.555406673,0.566074471,281.1378936,3196.533211,726.2098374,5008.560529,692.4839708,6371.569902,11700000000,17030000000,0.69,0.015120343,0.020419478,0.016778851,243.8877163,1.41916E+11
47,"Brisbane, CA",2016,2016,148025,,"(37.6808, -122.4)",USA,4603,2015,7.5,,,,,,2,26.2,2015,0.97,0.86,,,,,,,,,,,,,,,,,,,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,613.7333333,
48,Bristol,2016,2012,,,"(51.45451, -2.58791)",United Kingdom,442500,2015,110,,,,,70.41764085,2.41,,,1.99,1.92,86.125,89.625,95.0625,172.75,178.4375,186.5625,0.332689522,0.33434367,0.337549933,0.667310478,0.66565633,0.662450067,493.6439583,3280.431657,428.3813995,3496.8864,415.579143,3834.226729,,,,,,,4022.727273,47659000000
49,Brussels,2016,2011,,,"(50.85034, 4.35171)",Belgium,1175173,2017,161.38,,,,,86.88,2.22,,,1.69,1.9,154.3125,155.1875,174.9375,339.625,356.125,373.8125,0.312413008,0.303508129,0.318792711,0.687586992,0.696491871,0.681207289,496.1465519,3363.740084,266.1040992,3779.969217,269.077991,4325.393175,,,,,,,7282.023795,2.54327E+11
50,Buenos Aires,2016,2014,19667128,,"(-34.6037232, -58.3815931)",Argentina,3054267,2015,202,,25,18,,,,45.71,2014-2017,1.33,1.52,655.1875,700.4375,731.375,1702.0625,1887.5625,2046.3125,0.277945699,0.270648184,0.263303557,0.722054301,0.729351816,0.736696443,1990,1990,425.7925298,6429.729951,497.8210559,7166.397159,2600000000,38770000000,0.07,0.004151498,0.004682918,0.00464728,15120.13366,3.15885E+11
51,Buffalo City,2016,2007,,,"(-32.9833, 27.8667)",South Africa,797556,2011,2536,,,,,26,2.33,,,1.17,1.19,52.75,56.75,55.5625,66.0625,80.4375,94.25,0.443976854,0.413667426,0.370880267,0.556023146,0.586332574,0.629119733,1560.325495,1360.69208,650.2305366,3187.860977,318.0291856,3249.469558,,,,,,,314.4936909,3323260000
52,Burlington,2016,2010,405385.3,,"(44.4758825, -73.212072)",USA,42284,2015,40.1,,61,7.7,,,2.2,17.8,(2011-2015) ,0.97,0.86,57.4375,60.625,62.9375,47.1875,51.1875,54,0.548984468,0.542202348,0.538214858,0.451015532,0.457797652,0.461785142,411.4750634,1721.587606,386.8029193,1351.904777,395.8963812,1407.73018,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1054.46384,5158000000
53,Calgary,2016,2015,18207232,,"(51.048615, -114.070846)",Canada,1203915,2015,848,,1084,4.1,,,2.6,27,2011,1.16,1.17,120.1875,138,176.9375,264.375,310.1875,361.5,0.312530473,0.307906847,0.328612885,0.687469527,0.692093153,0.671387115,434.9481756,1626.383025,931.5500334,2239.010449,818.5009802,3090.882383,77960000000,1.515E+11,0.51,0.046860437,0.101727514,0.073493605,1419.711085,97882000000
54,Canberra,2016,2015,4003900,,"(-35.3075, 149.1244)",Australia,400000,2016,2358,,578,13.5,,,2.6,22,2014-2017,1.28,1.23,57.125,58.125,59.0625,136.6875,141.6875,147.25,0.294743631,0.290897717,0.286276886,0.705256369,0.709102283,0.713723114,188.6203299,1630.637998,106.9116599,1343.595915,87.78358303,1636.424601,31610000000,62640000000,0.5,0.027793371,0.039682077,0.033682684,169.6352841,25800840000
55,Cape Town,2016,2012,22643846,,"(-33.9253, 18.4239)",South Africa,3918830,2014,2461,,,16.6,,44,3.4,45.31,2014-2017,1.17,1.19,221.5,227.9375,238.5625,782.375,838.625,899.875,0.220645001,0.213712277,0.209552567,0.779354999,0.786287723,0.790447433,254.6396003,1362.073799,180.1760317,3159.665554,80.43965467,4251.523793,0,1,0,0.012230678,0.013961338,0.013961338,1592.373019,58863000000
56,Caracas,2016,2015,17774776,,"(10.4696404, -66.8037185)",Venezuela,3518590,2015,776,,950,25,,,,49.5,2013-2016,0.008,0.015,170.375,184.75,193.625,250.625,261.6875,270.125,0.404691211,0.413831723,0.417520216,0.595308789,0.586168277,0.582479784,214.4419052,1213.355106,830.8850611,5169.024687,1910.19282,23135.40312,0,1,0,0.008983247,0.045094892,0.045094892,4534.265464,51804000000
57,Cardiff,2016,2013,2128000,,"(51.481581, -3.17909)",United Kingdom,354300,2014,140,,65,9.7,,100.9033875,2.32,,,1.99,1.92,38.9375,41.4375,42.5625,95.5625,100.375,103.5625,0.289498141,0.292199207,0.291274594,0.710501859,0.707800793,0.708725406,617.1014501,10795.30607,426.0833431,3476.981638,407.4579443,3972.846295,10550000000,40990000000,0.26,0.018136258,0.026046307,0.02401042,2530.714286,36009000000
58,Cascais,2016,2010,831603,,"(38.6970565, -9.4222945)",Portugal,208122,2014,97,,,17,,,,30.08618607,2011,1.64,1.89,,,,,,,,,,,,,,,,,,,0,1,0,0.031127579,0.036136885,0.036136885,2145.587629,
59,Changchun,2016,2010,,1.18104,"(43.886944444399994, 125.324722222)",China,7392600,,20532,461.1,,,38863.14,68.70473444,3.29,,,1.09,1.17,272.3125,297.5,300.375,399.25,488,673.9375,0.405490926,0.378739656,0.30829431,0.594509074,0.621260344,0.69170569,510.456995,7653.076514,338.8868028,6779.084925,231.6323807,5403.281829,,,,,,,360.0526008,35547508956
60,"Changsha, Hunan",2016,2010,,0.83,"(28.196111111100002, 112.97222222200001)",China,6310000,,11819,433.3,,,40156.9,59.61272993,3.44,,,1.09,1.17,355.9375,430.5,520.4375,307.0625,390.0625,563.75,0.536858974,0.52464011,0.480025365,0.463141026,0.47535989,0.519974635,1294.582807,10434.61887,2485.963904,11252.8506,1557.907682,9601.802558,,,,,,,533.8861156,39515015806
61,Changzhou,2016,2010,,1.424295624,"(31.7833333333, 119.96666666700001)",China,3290918,,1872.1,329.5,,,47798.85,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,1757.875114,34830991376
62,Chengdou,2016,2010,,1.08,"(30.6586111111, 104.06472222200001)",China,10152632,,3679.9,783,,,40023.38,,,,,1.09,1.17,656.125,657.3125,691.3125,891.875,1018.5,1142.5,0.423853359,0.39223511,0.376981016,0.576146641,0.60776489,0.623018984,996.5673821,7909.344499,1266.399461,7362.388987,1209.241608,9135.582971,,,,,,,2758.942363,59134901849
63,Chicago,2017,2015,29918694,,"(41.8781136, -87.6297982)",USA,2720546,2015,606,,181,9.4,,,2.68,30.95,2013,0.97,0.86,2086.875,2083.3125,2004.25,4445.8125,5046,5679.4375,0.319451221,0.292217868,0.260844809,0.680548779,0.707782132,0.739155191,394.9156924,809.4645358,144.8633654,1643.323313,94.19231809,1554.946514,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,4489.349835,5.63188E+11
64,Chongqing,2016,2010,,0.88,"(29.5583333333, 106.566666667)",China,6362501,,472.8,452.3,,,37288.31,144.3551611,3.35,,,1.09,1.17,374.5625,415.9375,412.1875,421.6875,474.125,730.9375,0.470408163,0.467312689,0.360579552,0.529591837,0.532687311,0.639420448,834.3186346,6044.558512,1407.184965,12715.32744,640.5084303,7714.278715,,,,,,,13457.06641,87979132936
65,Cleveland,2016,2010,11889595,,"(41.49932, -81.6943605)",USA,396815,2010,201,,199,10.4,,,2.26,24.2,(2011-2015) ,0.97,0.86,378.3125,379.375,371.75,938.25,1028.875,1082.1875,0.287348683,0.269394639,0.255684993,0.712651317,0.730605361,0.744315007,223.7906115,1704.735767,261.7701083,1501.314893,199.601214,1288.022098,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1974.20398,1.15142E+11
66,Cochin,2016,2008,,,"(9.931233, 76.26730400000001)",India,601574,2011,94.88,,,,,,,,,0.91,1.1,409.75,450.4375,539.3125,340.3125,365.375,511.1875,0.546287809,0.552133609,0.513386483,0.453712191,0.447866391,0.486613517,1108.850282,11580.69105,1045.640521,6666.713336,685.8641244,5274.824572,,,,,,,6340.366779,7000000000
67,Coimbatore,2016,2015,,,"(11.0, 76.9558)",India,1850000,2016,246.75,,,,,,,,,0.91,1.1,235.8125,278.9375,339.5,159.6875,187.0625,267.375,0.596238938,0.598578326,0.559423275,0.403761062,0.401421674,0.440576725,1159.938347,12886.94672,1349.485654,9989.494298,1212.546958,9084.689662,,,,,,,7497.467072,5000000000
68,Columbus,2016,2015,10983600,,"(39.9611755, -82.9987942)",USA,835957,2014,563,,275,11.6,,,2.4,21.4,(2011-2015) ,0.97,0.86,437.4375,451.9375,436.625,618.4375,808.1875,939.9375,0.414289097,0.358644976,0.317185017,0.585710903,0.641355024,0.682814983,371.6328534,1651.463603,308.7729189,1287.98266,231.1194874,1401.456536,42870000000,7.662E+11,0.06,0.017698982,0.036729479,0.035664695,1484.825933,1.08904E+11
